uf,tipo_doenca,local_obito,faixa_etaria,sexo,total
AC,OUTRAS,DOMICILIO,"< 9",F,3
AC,OUTRAS,DOMICILIO,"< 9",M,3
AC,OUTRAS,HOSPITAL,"< 9",F,20
AC,OUTRAS,HOSPITAL,"< 9",M,20
AC,OUTRAS,OUTRO,"< 9",F,3
AC,OUTRAS,OUTRO,"< 9",M,2
AC,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,1
AC,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,1
AC,OUTRAS,VIA_PUBLICA,"< 9",M,2
AC,COVID,HOSPITAL,"< 9",M,3
AC,INDETERMINADA,DOMICILIO,"< 9",M,1
AC,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,1
AC,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,2
AC,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,6
AC,PNEUMONIA,DOMICILIO,"< 9",M,2
AC,PNEUMONIA,HOSPITAL,"< 9",F,13
AC,PNEUMONIA,HOSPITAL,"< 9",M,14
AC,PNEUMONIA,OUTRO,"< 9",M,1
AC,SEPTICEMIA,DOMICILIO,"< 9",M,1
AC,SEPTICEMIA,HOSPITAL,"< 9",F,17
AC,SEPTICEMIA,HOSPITAL,"< 9",M,23
AL,OUTRAS,DOMICILIO,"< 9",F,6
AL,OUTRAS,DOMICILIO,"< 9",M,8
AL,OUTRAS,HOSPITAL,"< 9",F,87
AL,OUTRAS,HOSPITAL,"< 9",I,4
AL,OUTRAS,HOSPITAL,"< 9",M,114
AL,OUTRAS,OUTRO,"< 9",F,1
AL,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,2
AL,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,3
AL,OUTRAS,VIA_PUBLICA,"< 9",F,1
AL,OUTRAS,VIA_PUBLICA,"< 9",M,3
AL,COVID,HOSPITAL,"< 9",F,5
AL,COVID,HOSPITAL,"< 9",M,3
AL,INDETERMINADA,DOMICILIO,"< 9",F,1
AL,INDETERMINADA,HOSPITAL,"< 9",F,1
AL,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,1
AL,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,15
AL,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,1
AL,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,13
AL,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
AL,PNEUMONIA,HOSPITAL,"< 9",F,11
AL,PNEUMONIA,HOSPITAL,"< 9",M,12
AL,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
AL,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
AL,SEPTICEMIA,HOSPITAL,"< 9",F,30
AL,SEPTICEMIA,HOSPITAL,"< 9",M,41
AL,SRAG,HOSPITAL,"< 9",F,2
AL,SRAG,HOSPITAL,"< 9",M,2
AM,OUTRAS,DOMICILIO,"< 9",F,9
AM,OUTRAS,DOMICILIO,"< 9",M,10
AM,OUTRAS,HOSPITAL,"< 9",F,134
AM,OUTRAS,HOSPITAL,"< 9",I,4
AM,OUTRAS,HOSPITAL,"< 9",M,144
AM,OUTRAS,OUTRO,"< 9",M,3
AM,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,2
AM,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,8
AM,COVID,HOSPITAL,"< 9",F,2
AM,COVID,HOSPITAL,"< 9",M,1
AM,INDETERMINADA,DOMICILIO,"< 9",F,1
AM,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,1
AM,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,14
AM,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,16
AM,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
AM,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,2
AM,PNEUMONIA,DOMICILIO,"< 9",M,1
AM,PNEUMONIA,HOSPITAL,"< 9",F,19
AM,PNEUMONIA,HOSPITAL,"< 9",M,24
AM,SEPTICEMIA,HOSPITAL,"< 9",F,72
AM,SEPTICEMIA,HOSPITAL,"< 9",M,78
AM,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
